DATE,IPG321S
1972-01-01,84.4604
1972-02-01,83.1241
1972-03-01,82.0276
1972-04-01,83.8664
1972-05-01,83.2284
1972-06-01,83.4991
1972-07-01,85.8942
1972-08-01,83.4675
1972-09-01,84.6597
1972-10-01,87.7220
1972-11-01,87.6087
1972-12-01,84.5001
1973-01-01,84.6690
1973-02-01,85.1167
1973-03-01,84.4402
1973-04-01,81.6644
1973-05-01,80.2144
1973-06-01,80.6789
1973-07-01,80.2624
1973-08-01,80.3984
1973-09-01,81.4331
1973-10-01,80.2868
1973-11-01,81.1118
1973-12-01,81.9967
1974-01-01,77.5502
1974-02-01,79.6257
1974-03-01,79.8304
1974-04-01,80.1450
1974-05-01,78.9386
1974-06-01,78.8991
1974-07-01,75.6232
1974-08-01,74.5789
1974-09-01,72.3973
1974-10-01,67.3132
1974-11-01,64.8238
1974-12-01,62.0802
1975-01-01,61.3160
1975-02-01,62.9094
1975-03-01,63.0308
1975-04-01,64.3953
1975-05-01,67.4799
1975-06-01,69.4547
1975-07-01,70.9721
1975-08-01,71.8867
1975-09-01,72.1799
1975-10-01,73.1225
1975-11-01,73.1106
1975-12-01,72.3968
1976-01-01,77.1587
1976-02-01,77.4086
1976-03-01,74.7998
1976-04-01,75.7541
1976-05-01,76.7017
1976-06-01,74.5526
1976-07-01,77.2611
1976-08-01,78.0173
1976-09-01,77.3788
1976-10-01,79.2622
1976-11-01,78.2421
1976-12-01,79.3585
1977-01-01,79.5037
1977-02-01,79.9512
1977-03-01,80.7939
1977-04-01,81.1266
1977-05-01,82.9605
1977-06-01,82.3951
1977-07-01,84.0879
1977-08-01,84.1728
1977-09-01,84.9886
1977-10-01,85.6777
1977-11-01,84.5220
1977-12-01,88.0655
1978-01-01,84.9047
1978-02-01,83.9467
1978-03-01,84.1193
1978-04-01,84.8298
1978-05-01,84.5030
1978-06-01,85.2310
1978-07-01,84.5024
1978-08-01,82.4348
1978-09-01,82.3661
1978-10-01,83.1845
1978-11-01,84.4808
1978-12-01,86.5144
1979-01-01,80.8988
1979-02-01,80.9383
1979-03-01,81.6450
1979-04-01,80.8533
1979-05-01,80.9688
1979-06-01,81.1333
1979-07-01,80.8369
1979-08-01,81.9991
1979-09-01,82.3047
1979-10-01,82.2914
1979-11-01,80.8729
1979-12-01,79.9799
1980-01-01,80.5279
1980-02-01,81.0875
1980-03-01,79.8862
1980-04-01,65.3774
1980-05-01,65.3946
1980-06-01,68.8099
1980-07-01,70.4948
1980-08-01,75.9775
1980-09-01,76.5128
1980-10-01,77.7972
1980-11-01,81.9472
1980-12-01,79.5263
1981-01-01,80.1278
1981-02-01,78.6578
1981-03-01,78.8826
1981-04-01,79.2379
1981-05-01,79.6221
1981-06-01,75.2170
1981-07-01,75.1400
1981-08-01,74.2739
1981-09-01,68.9696
1981-10-01,67.0790
1981-11-01,63.3582
1981-12-01,62.3866
1982-01-01,61.8281
1982-02-01,64.7154
1982-03-01,63.5001
1982-04-01,64.9475
1982-05-01,66.2501
1982-06-01,66.1876
1982-07-01,68.2272
1982-08-01,67.9580
1982-09-01,66.8953
1982-10-01,66.8033
1982-11-01,68.1481
1982-12-01,67.4193
1983-01-01,73.6238
1983-02-01,72.6793
1983-03-01,71.0734
1983-04-01,72.6912
1983-05-01,75.5330
1983-06-01,76.3737
1983-07-01,79.0918
1983-08-01,77.5557
1983-09-01,78.5999
1983-10-01,80.5447
1983-11-01,80.1226
1983-12-01,80.3002
1984-01-01,81.2415
1984-02-01,81.8130
1984-03-01,82.7389
1984-04-01,83.4663
1984-05-01,81.1375
1984-06-01,82.8314
1984-07-01,82.5491
1984-08-01,81.6353
1984-09-01,82.2952
1984-10-01,80.9620
1984-11-01,81.3064
1984-12-01,81.8381
1985-01-01,79.3724
1985-02-01,79.3375
1985-03-01,81.0598
1985-04-01,81.7651
1985-05-01,82.5042
1985-06-01,83.6865
1985-07-01,83.2783
1985-08-01,85.3419
1985-09-01,84.7795
1985-10-01,85.2383
1985-11-01,84.8496
1985-12-01,83.0715
1986-01-01,86.7747
1986-02-01,87.1192
1986-03-01,87.6902
1986-04-01,88.6006
1986-05-01,89.1086
1986-06-01,88.9302
1986-07-01,88.5533
1986-08-01,91.7170
1986-09-01,92.2735
1986-10-01,92.6794
1986-11-01,93.5061
1986-12-01,93.1397
1987-01-01,95.0832
1987-02-01,95.9759
1987-03-01,96.4747
1987-04-01,95.5669
1987-05-01,98.3892
1987-06-01,98.9337
1987-07-01,100.5378
1987-08-01,100.5880
1987-09-01,97.6857
1987-10-01,99.0509
1987-11-01,99.6794
1987-12-01,97.6095
1988-01-01,98.4665
1988-02-01,99.2647
1988-03-01,98.2510
1988-04-01,98.9336
1988-05-01,100.2325
1988-06-01,96.8578
1988-07-01,96.3002
1988-08-01,94.9887
1988-09-01,96.8059
1988-10-01,97.3094
1988-11-01,96.8372
1988-12-01,99.3202
1989-01-01,100.2854
1989-02-01,95.1344
1989-03-01,94.3314
1989-04-01,95.8507
1989-05-01,94.4982
1989-06-01,96.5240
1989-07-01,94.7152
1989-08-01,95.1821
1989-09-01,94.9007
1989-10-01,97.1245
1989-11-01,97.0684
1989-12-01,99.1505
